# journal_schema_version: 1.2
roll,dice,total,bankroll_after,point_value,pso
1,"(4, 5)",9,988.00,9,0
2,"(2, 1)",3,976.00,,0
3,"(6, 3)",9,964.00,9,0
4,"(2, 4)",6,952.00,6,0
5,"(1, 4)",5,940.00,5,0
6,"(3, 4)",7,928.00,,1
7,"(5, 2)",7,916.00,,1
8,"(4, 1)",5,904.00,5,0
9,"(3, 4)",7,892.00,,1
10,"(5, 5)",10,880.00,10,0
11,"(2, 3)",5,868.00,5,0
12,"(2, 5)",7,856.00,,1
13,"(2, 4)",6,844.00,6,0
14,"(6, 4)",10,832.00,10,0
15,"(5, 3)",8,820.00,8,0
16,"(4, 6)",10,808.00,10,0
17,"(5, 5)",10,796.00,10,0
18,"(3, 3)",6,784.00,6,0
19,"(2, 2)",4,772.00,4,0
20,"(3, 2)",5,760.00,5,0
21,"(1, 4)",5,748.00,5,0
