action,cooldown,cooldown_allowed,cooldown_reason,cooldown_remaining,duplicate_blocked,executed,fired,hand_id,note,origin,pattern,point_on,profile,result,roll_in_hand,rule_id,run_id,scope,target,timestamp,timing_legal,timing_reason,vars
switch_profile('Recovery'),3,True,ok,3,False,True,True,1,,rule:bankroll_guard_001,,False,Recovery,"{'applied': 'switch_profile', 'target': 'Recovery'}",1,bankroll_guard_001,phase5-ittt-demo,session,Recovery,1760811739.296909,True,ok,"{'drawdown_after': 60.0, 'hand_id': 1, 'point_on': False, 'bankroll_after': 940.0, 'roll_in_hand': 1, 'box_hits': 2, 'last_roll_total': 6}"
press_and_collect('conservative'),1,True,ok,1,False,True,True,1,,rule:box_trigger_002,conservative,False,,"{'applied': 'press_and_collect', 'pattern': 'conservative'}",1,box_trigger_002,phase5-ittt-demo,hand,,1760811739.2971663,True,ok,"{'drawdown_after': 60.0, 'hand_id': 1, 'point_on': False, 'bankroll_after': 940.0, 'roll_in_hand': 1, 'box_hits': 2, 'last_roll_total': 6}"
switch_profile('Recovery'),3,False,scope_locked,2,False,False,True,1,scope_locked,rule:bankroll_guard_001,,False,Recovery,,2,bankroll_guard_001,phase5-ittt-demo,session,Recovery,1760811739.2973547,True,ok,"{'drawdown_after': 70.0, 'hand_id': 1, 'point_on': False, 'bankroll_after': 930.0, 'roll_in_hand': 2, 'box_hits': 1, 'last_roll_total': 5}"
press_and_collect('conservative'),1,False,scope_locked,0,False,False,True,1,scope_locked,rule:box_trigger_002,conservative,False,,,2,box_trigger_002,phase5-ittt-demo,hand,,1760811739.2974036,True,ok,"{'drawdown_after': 70.0, 'hand_id': 1, 'point_on': False, 'bankroll_after': 930.0, 'roll_in_hand': 2, 'box_hits': 1, 'last_roll_total': 5}"
switch_profile('Recovery'),3,False,scope_locked,1,False,False,True,2,scope_locked,rule:bankroll_guard_001,,True,Recovery,,1,bankroll_guard_001,phase5-ittt-demo,session,Recovery,1760811739.2975159,False,point_comeout_only,"{'drawdown_after': 80.0, 'hand_id': 2, 'point_on': True, 'bankroll_after': 920.0, 'roll_in_hand': 1, 'box_hits': 2, 'last_roll_total': 4}"
press_and_collect('conservative'),1,True,ok,0,False,False,True,2,point_comeout_only,rule:box_trigger_002,conservative,True,,,1,box_trigger_002,phase5-ittt-demo,hand,,1760811739.2975547,False,point_comeout_only,"{'drawdown_after': 80.0, 'hand_id': 2, 'point_on': True, 'bankroll_after': 920.0, 'roll_in_hand': 1, 'box_hits': 2, 'last_roll_total': 4}"
switch_profile('Recovery'),3,False,scope_locked,0,False,False,True,2,scope_locked,rule:bankroll_guard_001,,True,Recovery,,2,bankroll_guard_001,phase5-ittt-demo,session,Recovery,1760811739.2976582,True,ok,"{'drawdown_after': 120.0, 'hand_id': 2, 'point_on': True, 'bankroll_after': 880.0, 'roll_in_hand': 2, 'box_hits': 2, 'last_roll_total': 8}"
press_and_collect('conservative'),1,True,ok,1,False,True,True,2,,rule:box_trigger_002,conservative,True,,"{'applied': 'press_and_collect', 'pattern': 'conservative'}",2,box_trigger_002,phase5-ittt-demo,hand,,1760811739.2977183,True,ok,"{'drawdown_after': 120.0, 'hand_id': 2, 'point_on': True, 'bankroll_after': 880.0, 'roll_in_hand': 2, 'box_hits': 2, 'last_roll_total': 8}"
switch_profile('Recovery'),3,False,scope_locked,0,False,False,False,3,scope_locked,rule:bankroll_guard_001,,False,Recovery,,1,bankroll_guard_001,phase5-ittt-demo,session,Recovery,1760811739.2978086,True,ok,"{'drawdown_after': 40.0, 'hand_id': 3, 'point_on': False, 'bankroll_after': 960.0, 'roll_in_hand': 1, 'box_hits': 0, 'last_roll_total': 10}"
press_and_collect('conservative'),1,True,ok,0,False,False,False,3,,rule:box_trigger_002,conservative,False,,,1,box_trigger_002,phase5-ittt-demo,hand,,1760811739.297842,True,ok,"{'drawdown_after': 40.0, 'hand_id': 3, 'point_on': False, 'bankroll_after': 960.0, 'roll_in_hand': 1, 'box_hits': 0, 'last_roll_total': 10}"
switch_profile('Recovery'),3,False,scope_locked,0,False,False,True,3,scope_locked,rule:bankroll_guard_001,,False,Recovery,,2,bankroll_guard_001,phase5-ittt-demo,session,Recovery,1760811739.2979755,True,ok,"{'drawdown_after': 60.0, 'hand_id': 3, 'point_on': False, 'bankroll_after': 940.0, 'roll_in_hand': 2, 'box_hits': 2, 'last_roll_total': 9}"
press_and_collect('conservative'),1,True,ok,1,False,True,True,3,,rule:box_trigger_002,conservative,False,,"{'applied': 'press_and_collect', 'pattern': 'conservative'}",2,box_trigger_002,phase5-ittt-demo,hand,,1760811739.2980144,True,ok,"{'drawdown_after': 60.0, 'hand_id': 3, 'point_on': False, 'bankroll_after': 940.0, 'roll_in_hand': 2, 'box_hits': 2, 'last_roll_total': 9}"
